package,count,percent_of_notebooks
pandas,570,0.753968253968254
numpy,535,0.7076719576719577
matplotlib,415,0.548941798941799
scikit-learn,330,0.4365079365079365
seaborn,257,0.33994708994708994
pytorch,133,0.17592592592592593
tqdm,95,0.12566137566137567
xgboost,76,0.10052910052910052
pillow,73,0.09656084656084656
scipy,61,0.08068783068783068
ipython,60,0.07936507936507936
opencv,55,0.07275132275132275
tensorflow,44,0.0582010582010582
lightgbm,42,0.05555555555555555
huggingface,35,0.046296296296296294
plotly,30,0.03968253968253968
joblib,27,0.03571428571428571
catboost,24,0.031746031746031744
requests,21,0.027777777777777776
logging,19,0.02513227513227513
scikit-image,15,0.01984126984126984
copy,12,0.015873015873015872
langchain,12,0.015873015873015872
statsmodels,12,0.015873015873015872
nltk,11,0.01455026455026455
polars,11,0.01455026455026455
optuna,10,0.013227513227513227
jupyter_server,9,0.011904761904761904
itertools,9,0.011904761904761904
traceback,9,0.011904761904761904
wordcloud,8,0.010582010582010581
langchain_community,8,0.010582010582010581
gensim,7,0.009259259259259259
dotenv,7,0.009259259259259259
shap,6,0.007936507936507936
asyncio,6,0.007936507936507936
tabulate,6,0.007936507936507936
audio,6,0.007936507936507936
rdkit,6,0.007936507936507936
category_encoders,5,0.006613756613756613
torchinfo,5,0.006613756613756613
surprise,4,0.005291005291005291
imblearn,4,0.005291005291005291
mcp,4,0.005291005291005291
stage0_model,4,0.005291005291005291
ipywidgets,4,0.005291005291005291
stage0_common,4,0.005291005291005291
stage2_model,4,0.005291005291005291
pydantic,4,0.005291005291005291
spacy,4,0.005291005291005291
stage1_model,4,0.005291005291005291
stage2_common,4,0.005291005291005291
cc3d,4,0.005291005291005291
wandb,4,0.005291005291005291
tunix,4,0.005291005291005291
h5py,4,0.005291005291005291
stage1_common,4,0.005291005291005291
psutil,3,0.003968253968253968
concurrent,3,0.003968253968253968
medicai,3,0.003968253968253968
qwix,3,0.003968253968253968
bokeh,3,0.003968253968253968
sample_list,3,0.003968253968253968
models,3,0.003968253968253968
mpl_toolkits,3,0.003968253968253968
streamlit,3,0.003968253968253968
gradio,3,0.003968253968253968
peft,3,0.003968253968253968
folium,3,0.003968253968253968
sqlite3,3,0.003968253968253968
the,2,0.0026455026455026454
nest_asyncio,2,0.0026455026455026454
torch_frame,2,0.0026455026455026454
mne,2,0.0026455026455026454
chromadb,2,0.0026455026455026454
statistics,2,0.0026455026455026454
clip,2,0.0026455026455026454
vertexai,2,0.0026455026455026454
mlxtend,2,0.0026455026455026454
yfinance,2,0.0026455026455026454
graphviz,2,0.0026455026455026454
pytorch_grad_cam,2,0.0026455026455026454
numba,2,0.0026455026455026454
geopy,2,0.0026455026455026454
dask,2,0.0026455026455026454
pyspark,2,0.0026455026455026454
grain,2,0.0026455026455026454
evaluate,2,0.0026455026455026454
gdown,2,0.0026455026455026454
cupy,2,0.0026455026455026454
networkx,2,0.0026455026455026454
charset_normalizer,2,0.0026455026455026454
faiss,2,0.0026455026455026454
rich,2,0.0026455026455026454
orbax,2,0.0026455026455026454
ast,2,0.0026455026455026454
flax,2,0.0026455026455026454
optax,2,0.0026455026455026454
textblob,2,0.0026455026455026454
humanize,2,0.0026455026455026454
jsonschema,1,0.0013227513227513227
deepeval,1,0.0013227513227513227
hmmlearn,1,0.0013227513227513227
cuml,1,0.0013227513227513227
safetensors,1,0.0013227513227513227
openai,1,0.0013227513227513227
simpleitk,1,0.0013227513227513227
geopandas,1,0.0013227513227513227
pykalman,1,0.0013227513227513227
healthguard_config,1,0.0013227513227513227
gplay_scraper,1,0.0013227513227513227
chardet,1,0.0013227513227513227
deployment_stack,1,0.0013227513227513227
_init_paths,1,0.0013227513227513227
diagnostics,1,0.0013227513227513227
episodic_summarizer,1,0.0013227513227513227
self_reflection,1,0.0013227513227513227
altair,1,0.0013227513227513227
meta_planner,1,0.0013227513227513227
adaptive_trigger,1,0.0013227513227513227
reranker,1,0.0013227513227513227
lib,1,0.0013227513227513227
easydict,1,0.0013227513227513227
tikzplotlib,1,0.0013227513227513227
feature_engineering,1,0.0013227513227513227
pandasql,1,0.0013227513227513227
neurobench,1,0.0013227513227513227
tensorgrad,1,0.0013227513227513227
underthesea,1,0.0013227513227513227
arrow,1,0.0013227513227513227
bs4,1,0.0013227513227513227
metrics,1,0.0013227513227513227
engine,1,0.0013227513227513227
model,1,0.0013227513227513227
dataset,1,0.0013227513227513227
loss,1,0.0013227513227513227
bitsandbytes,1,0.0013227513227513227
xformers,1,0.0013227513227513227
modeling_finetune,1,0.0013227513227513227
sam2,1,0.0013227513227513227
neuralop,1,0.0013227513227513227
snn,1,0.0013227513227513227
dlib,1,0.0013227513227513227
pulp,1,0.0013227513227513227
custom_modules,1,0.0013227513227513227
firebase_admin,1,0.0013227513227513227
edhec_risk_kit,1,0.0013227513227513227
skopt,1,0.0013227513227513227
dask_cudf,1,0.0013227513227513227
cudf,1,0.0013227513227513227
email,1,0.0013227513227513227
toon_format,1,0.0013227513227513227
kneed,1,0.0013227513227513227
snntorch,1,0.0013227513227513227
faker,1,0.0013227513227513227
timeit,1,0.0013227513227513227
tiktoken,1,0.0013227513227513227
roboflow,1,0.0013227513227513227
ucimlrepo,1,0.0013227513227513227
pycountry_convert,1,0.0013227513227513227
easyfsl,1,0.0013227513227513227
path,1,0.0013227513227513227
pyomo,1,0.0013227513227513227
fuzzywuzzy,1,0.0013227513227513227
missingno,1,0.0013227513227513227
lifelines,1,0.0013227513227513227
groq,1,0.0013227513227513227
chaid,1,0.0013227513227513227
orca,1,0.0013227513227513227
pytrends,1,0.0013227513227513227
xml,1,0.0013227513227513227
praw,1,0.0013227513227513227
iterstrat,1,0.0013227513227513227
five,1,0.0013227513227513227
utils,1,0.0013227513227513227
fcntl,1,0.0013227513227513227
pyvirtualdisplay,1,0.0013227513227513227
retro,1,0.0013227513227513227
nibabel,1,0.0013227513227513227
coherence_substrate_v2,1,0.0013227513227513227
rfdetr,1,0.0013227513227513227
usaddress,1,0.0013227513227513227
sympy,1,0.0013227513227513227
sacrebleu,1,0.0013227513227513227
islp,1,0.0013227513227513227
rank_bm25,1,0.0013227513227513227
rouge_score,1,0.0013227513227513227
pywaffle,1,0.0013227513227513227
openpyxl,1,0.0013227513227513227
pyttsx3,1,0.0013227513227513227
pyswarm,1,0.0013227513227513227
xgbtuna,1,0.0013227513227513227
src,1,0.0013227513227513227
paddleocr,1,0.0013227513227513227
httpx,1,0.0013227513227513227
lang_sam,1,0.0013227513227513227
__main__,1,0.0013227513227513227
urllib,1,0.0013227513227513227
tick,1,0.0013227513227513227
qiskit,1,0.0013227513227513227
news_agent,1,0.0013227513227513227
duckdb,1,0.0013227513227513227
qiskit_aer,1,0.0013227513227513227
groundingdino,1,0.0013227513227513227
pyngrok,1,0.0013227513227513227
autogluon,1,0.0013227513227513227
squarify,1,0.0013227513227513227
fastapi,1,0.0013227513227513227
pingouin,1,0.0013227513227513227
holidays,1,0.0013227513227513227
bert_score,1,0.0013227513227513227
